model,stream,layer,n,rho_mean,rho_p95,rho_max,varhet_mean,varhet_p95
llama-3.1-8b-instruct,Q,9,2048,0.125438,0.340768,0.667568,0.350948,1.107782
llama-3.1-8b-instruct,Q,10,2048,0.128115,0.344091,0.786358,0.351100,1.079467
llama-3.1-8b-instruct,Q,11,2048,0.118615,0.313039,0.734606,0.317505,0.905556
llama-3.1-8b-instruct,Q,12,2048,0.123805,0.325104,0.791697,0.354838,1.061776
llama-3.1-8b-instruct,Q,13,2048,0.118328,0.315793,0.818645,0.323740,0.968594
llama-3.1-8b-instruct,Q,14,2048,0.118894,0.337539,0.813445,0.319151,0.933378
llama-3.1-8b-instruct,Q,15,2048,0.122936,0.308847,0.562704,0.335869,0.957851
llama-3.1-8b-instruct,Q,16,2048,0.126886,0.337651,0.795868,0.324283,0.985403
llama-3.1-8b-instruct,Q,17,2048,0.128356,0.326874,0.838297,0.345384,1.010650
llama-3.1-8b-instruct,Q,18,2048,0.114476,0.307855,0.856588,0.294653,0.861106
llama-3.1-8b-instruct,Q,19,2048,0.124253,0.344393,0.877543,0.321847,0.975795
llama-3.1-8b-instruct,Q,20,2048,0.111397,0.278367,0.828073,0.289956,0.822189
llama-3.1-8b-instruct,Q,21,2048,0.112177,0.306414,0.793282,0.312608,0.910811
llama-3.1-8b-instruct,Q,22,2048,0.109188,0.299507,0.770523,0.279553,0.811594
llama-3.1-8b-instruct,Q,23,2048,0.111168,0.296319,0.804391,0.269464,0.836735
llama-3.1-8b-instruct,Q,24,2048,0.109909,0.313969,0.834288,0.285626,0.829926
llama-3.1-8b-instruct,Q,25,2048,0.111667,0.311068,0.775905,0.281949,0.892254
llama-3.1-8b-instruct,Q,26,2048,0.122658,0.336597,0.842504,0.283187,0.829991
llama-3.1-8b-instruct,Q,27,2048,0.109566,0.306117,0.737050,0.274514,0.805981
llama-3.1-8b-instruct,Q,28,2048,0.117193,0.304120,0.789149,0.322208,0.973840
llama-3.1-8b-instruct,Q,29,2048,0.109490,0.296334,0.742925,0.270475,0.879378
llama-3.1-8b-instruct,Q,30,2048,0.137278,0.366056,0.696207,0.352531,0.957566
llama-3.1-8b-instruct,Q,31,2048,0.154472,0.436110,0.955658,0.428494,1.283917
llama-3.1-8b-instruct,K,0,512,0.364576,0.811903,0.999318,1.057016,2.771323
llama-3.1-8b-instruct,K,1,512,0.215362,0.608132,0.867361,1.443900,3.504822
llama-3.1-8b-instruct,K,2,512,0.138042,0.439037,0.878670,0.478616,1.660051
llama-3.1-8b-instruct,K,3,512,0.157341,0.488839,0.834383,0.538640,1.848057
llama-3.1-8b-instruct,K,4,512,0.166077,0.473282,0.927464,0.520369,1.825236
llama-3.1-8b-instruct,K,5,512,0.149927,0.460179,0.970467,0.457201,1.431642
llama-3.1-8b-instruct,K,6,512,0.151353,0.519198,0.759523,0.472814,1.422702
llama-3.1-8b-instruct,K,7,512,0.155149,0.480010,0.817949,0.494478,1.472671
llama-3.1-8b-instruct,K,8,512,0.160493,0.490329,0.752521,0.501975,1.533803
llama-3.1-8b-instruct,K,9,512,0.153540,0.478745,0.798395,0.534869,1.478996
llama-3.1-8b-instruct,K,10,512,0.137492,0.371248,0.826805,0.452154,1.350842
llama-3.1-8b-instruct,K,11,512,0.137702,0.421830,0.787452,0.463250,1.381849
llama-3.1-8b-instruct,K,12,512,0.141320,0.417323,0.749849,0.530018,1.450907
llama-3.1-8b-instruct,K,13,512,0.161351,0.487797,0.784703,0.455960,1.314250
llama-3.1-8b-instruct,K,14,512,0.138521,0.426893,0.732543,0.501961,1.399256
llama-3.1-8b-instruct,K,15,512,0.144260,0.420959,0.688943,0.495378,1.517754
llama-3.1-8b-instruct,K,16,512,0.140446,0.431293,0.887840,0.466347,1.443233
llama-3.1-8b-instruct,K,17,512,0.137504,0.387936,0.661893,0.467854,1.358265
llama-3.1-8b-instruct,K,18,512,0.135154,0.418125,0.869071,0.437058,1.339259
llama-3.1-8b-instruct,K,19,512,0.142249,0.365986,0.896843,0.416794,1.297830
llama-3.1-8b-instruct,K,20,512,0.142464,0.387035,0.771295,0.403824,1.233917
llama-3.1-8b-instruct,K,21,512,0.149718,0.430393,0.838517,0.455142,1.397003
llama-3.1-8b-instruct,K,22,512,0.144464,0.384176,0.753289,0.425342,1.246328
llama-3.1-8b-instruct,K,23,512,0.142899,0.412824,0.843631,0.398957,1.314825
llama-3.1-8b-instruct,K,24,512,0.139126,0.423842,0.753920,0.405370,1.267317
llama-3.1-8b-instruct,K,25,512,0.149388,0.483368,0.748605,0.404105,1.304990
llama-3.1-8b-instruct,K,26,512,0.151307,0.457984,0.757143,0.398996,1.280605
llama-3.1-8b-instruct,K,27,512,0.150591,0.442675,0.872549,0.389188,1.197039
llama-3.1-8b-instruct,K,28,512,0.119814,0.307428,0.699967,0.427097,1.280769
llama-3.1-8b-instruct,K,29,512,0.135578,0.387454,0.795177,0.338408,0.992818
llama-3.1-8b-instruct,K,30,512,0.163451,0.437999,0.781387,0.432065,1.285131
llama-3.1-8b-instruct,K,31,512,0.149219,0.422592,0.662472,0.457503,1.427501
